gene,n_alt,endpoint,abs_z,p_asymptotic,p_perm_marginal,p_bonferroni,q_bh,perm_fwer_p_maxT,perm_fwer_p_maxT_mcse,perm_fwer_p_minP,perm_fwer_p_minP_mcse,sens_markerperm_maxT,sens_markerperm_minP,abs_z_ipw,sens_ipw_maxT,sens_ipw_minP,B_primary,B_sensitivity
ERBB2_AMP,10,PFS,0.075,0.9401836977690791,0.8528147185281472,1.0,0.9896286303607449,1.0,1e-08,1.0,1e-08,1.0,1.0,0.0155,1.0,1.0,10000,2000
FGFR2,12,PFS,1.696,0.08989123972094297,0.13534439416792357,1.0,0.666281713765172,0.9253074692530747,0.0026289457316107704,0.9326067393260674,0.0025070183304010357,0.8980509745127436,0.9020489755122438,1.3156,0.993503248375812,0.993503248375812,10000,2000
IDH1,12,PFS,0.8663,0.3863017078088594,0.3710430194805195,1.0,0.7023667414706535,1.0,1e-08,0.9999000099990001,9.999000099990831e-05,1.0,1.0,1.1018,0.999000499750125,0.9950024987506247,10000,2000
KMT2C,12,PFS,2.1496,0.03158515039222792,0.051101498843174734,0.6317030078445585,0.6317030078445585,0.6763323667633236,0.004678748726226326,0.6344365563443656,0.00481587803332132,0.585207396301849,0.6686656671664168,2.1735,0.6666666666666666,0.6596701649175413,10000,2000
KRAS.1,47,PFS,0.0256,0.9795367612297331,0.9771022897710229,1.0,0.9896286303607449,1.0,1e-08,1.0,1e-08,1.0,1.0,0.0541,1.0,1.0,10000,2000
LRP1B,27,PFS,1.0173,0.3089883212997716,0.35766423357664234,1.0,0.7023667414706535,0.9998000199980002,0.00014140014497822603,0.9997000299970003,0.00017317044233848054,0.9995002498750625,0.9995002498750625,0.3084,1.0,1.0,10000,2000
MDM2,10,PFS,1.5014,0.1332563427530344,0.29117088291170884,1.0,0.666281713765172,0.9746025397460254,0.0015732904775222656,0.9981001899810019,0.0004354538713675419,0.9675162418790605,0.9785107446276862,1.2537,0.9965017491254373,1.0,10000,2000
RBM10,12,PFS,0.9463,0.3439885577110968,0.4781521847815218,1.0,0.7023667414706535,0.9999000099990001,9.999000099990831e-05,1.0,1e-08,1.0,1.0,1.2572,0.9960019990004998,0.9985007496251874,10000,2000
SMAD4,30,PFS,0.1138,0.9094264927221715,0.9394,1.0,0.9896286303607449,1.0,1e-08,1.0,1e-08,1.0,1.0,0.4187,1.0,1.0,10000,2000
STK11,14,PFS,0.013,0.9896286303607449,0.9891010898910109,1.0,0.9896286303607449,1.0,1e-08,1.0,1e-08,1.0,1.0,0.2911,1.0,1.0,10000,2000
TNFRSF14,30,PFS,1.1603,0.24593383062036833,0.2425757424257574,1.0,0.7023667414706535,0.9986001399860014,0.0003738850633469888,0.9945005499450055,0.0007395408105092745,0.999000499750125,0.9975012493753124,1.2865,0.9950024987506247,0.9760119940029985,10000,2000
TP53,101,PFS,0.5302,0.5959686576319246,0.6191380861913809,1.0,0.9896286303607449,1.0,1e-08,1.0,1e-08,1.0,1.0,1.106,0.999000499750125,0.9985007496251874,10000,2000
