analysis,spec,score,weighting,n,HR_interaction,CI_low,CI_high,p,note
(a) drop top-10 influential,B_reduced,PI3K,none,277,2.252060272631727,1.1091699038089216,4.572586629108367,0.024659249426934562,max|dfbeta|=0.1681; full-data coef=1.0039
(a) drop top-1 influential,B_reduced,PI3K_cont,none,286,5.704739598955862,1.7123121935211272,19.00591143077294,0.004569574142352496,max|dfbeta|=0.2822; full-data coef=1.7767
(a) drop top-3 influential,B_reduced,PI3K_cont,none,284,5.4604058421026584,1.633749007439127,18.250068905752507,0.0058280871987704585,max|dfbeta|=0.2822; full-data coef=1.7767
(a) drop top-5 influential,B_reduced,PI3K_cont,none,282,5.218053251663607,1.5431223929173712,17.644795942414348,0.007864054205232658,max|dfbeta|=0.2822; full-data coef=1.7767
(a) drop top-10 influential,B_reduced,PI3K_cont,none,277,4.900389485009889,1.4422346519626674,16.65042305849207,0.010872714429845595,max|dfbeta|=0.2822; full-data coef=1.7767
(e) PH remedy: stratified by sex,A_full,PI3K,none,287,3.1208356026211357,1.548046650314932,6.29155126339779,0.0014646761735971528,Sex_M violated PH; entered as stratum
(e) PH remedy: stratified by sex,A_full,PI3K_cont,none,287,7.595430168954163,2.3541334259369147,24.50607039339709,0.0006925101153072278,Sex_M violated PH; entered as stratum
(e) PH remedy: stratified by sex,B_reduced,PI3K,none,287,2.658492428261966,1.3478223821029394,5.243704278080775,0.004784014357356242,Sex_M violated PH; entered as stratum
(e) PH remedy: stratified by sex,B_reduced,PI3K_cont,none,287,5.72989155420081,1.8567528018471342,17.682298467647488,0.002395045758331817,Sex_M violated PH; entered as stratum
"CHA validation (OS), unadjusted",CHA_binary_only,PI3K(binary),none,167,5.523824550078386,2.241173040348247,13.614583573300283,0.00020452386959844663,no gene-level data; continuous score not computable
"CHA validation (PFS), unadjusted",CHA_binary_only,PI3K(binary),none,167,4.0997161515834515,1.8774297334683354,8.952490857010119,0.0003990448463068351,no gene-level data; continuous score not computable
